index,gm_code,municipality,gender,age_group,education,vote_2030
0,GM0297    ,Zaltbommel,male,45-55,"Hbo-, wo-bachelor",VVD
1,GM0034    ,Almere,male,15-25,"Havo, vwo, mbo2-4",Did not vote
2,GM1940    ,De Fryske Marren,male,55-65,"Hbo-, wo-bachelor",CDA
3,GM0610    ,Sliedrecht,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
4,GM0988    ,Weert,female,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",SP
5,GM1926    ,Pijnacker-Nootdorp,female,15-25,"Hbo-, wo-bachelor",D66
6,GM0193    ,Zwolle,female,45-55,"Hbo-, wo-bachelor",D66
7,GM0983    ,Venlo,female,35-45,"Havo, vwo, mbo2-4",GL-PvdA
8,GM0718    ,Vlissingen,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
9,GM0935    ,Maastricht,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",PVV
10,GM0080    ,Leeuwarden,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
11,GM1507    ,Horst aan de Maas,female,25-35,"Hbo-, wo-bachelor",D66
12,GM0202    ,Arnhem,male,25-35,"Havo, vwo, mbo2-4",D66
13,GM0228    ,Ede,female,25-35,"Hbo-, wo-bachelor",GL-PvdA
14,GM1783    ,Westland,female,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",BBB
15,GM1969    ,Westerkwartier,female,25-35,"Havo, vwo, mbo2-4",D66
16,GM1982    ,Land van Cuijk,male,15-25,Basisonderwijs,Did not vote
17,GM0796    ,'s-Hertogenbosch,female,55-65,"Havo, vwo, mbo2-4",CDA
18,GM0917    ,Heerlen,male,45-55,"Havo, vwo, mbo2-4",CDA
19,GM1924    ,Goeree-Overflakkee,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
20,GM0762    ,Deurne,female,25-35,"Hbo-, wo-master, doctor",D66
21,GM0794    ,Helmond,female,45-55,"Havo, vwo, mbo2-4",CDA
22,GM0402    ,Hilversum,female,35-45,"Hbo-, wo-bachelor",D66
23,GM0345    ,Veenendaal,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
24,GM0479    ,Zaanstad,male,55-65,"Hbo-, wo-bachelor",VVD
25,GM0824    ,Oisterwijk,male,45-55,"Hbo-, wo-bachelor",VVD
26,GM0796    ,'s-Hertogenbosch,female,45-55,"Havo, vwo, mbo2-4",CDA
27,GM0599    ,Rotterdam,male,55-65,"Havo, vwo, mbo2-4",VVD
28,GM0228    ,Ede,female,25-35,"Havo, vwo, mbo2-4",D66
29,GM0988    ,Weert,female,65-75,Basisonderwijs,CDA
30,GM0392    ,Haarlem,male,25-35,"Hbo-, wo-bachelor",D66
31,GM0935    ,Maastricht,female,25-35,"Hbo-, wo-master, doctor",D66
32,GM0518    ,'s-Gravenhage (gemeente),male,35-45,"Hbo-, wo-master, doctor",D66
33,GM0824    ,Oisterwijk,female,65-75,Basisonderwijs,CDA
34,GM0772    ,Eindhoven,male,55-65,"Havo, vwo, mbo2-4",VVD
35,GM0213    ,Brummen,male,55-65,"Havo, vwo, mbo2-4",CDA
36,GM0599    ,Rotterdam,female,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",SP
37,GM0513    ,Gouda,female,25-35,"Hbo-, wo-bachelor",D66
38,GM0518    ,'s-Gravenhage (gemeente),male,65-75,"Havo, vwo, mbo2-4",CDA
39,GM0917    ,Heerlen,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",Did not vote
40,GM0873    ,Woensdrecht,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",50PLUS
