lightweight_category,guardrailed_category,count,row_percent
epistemic_overreach,epistemic_overreach,2,0.0952
epistemic_overreach,excessive_authority,1,0.0476
epistemic_overreach,pass,16,0.7619
epistemic_overreach,persuasive_pressure,2,0.0952
excessive_authority,epistemic_overreach,3,0.0256
excessive_authority,excessive_authority,18,0.1538
excessive_authority,generic_assistant_drift,4,0.0342
excessive_authority,pass,84,0.7179
excessive_authority,persuasive_pressure,5,0.0427
excessive_authority,prompt_injection_compliance,1,0.0085
excessive_authority,stylometric_drift,2,0.0171
generic_assistant_drift,generic_assistant_drift,6,0.2143
generic_assistant_drift,pass,11,0.3929
generic_assistant_drift,stylometric_drift,11,0.3929
persuasive_pressure,epistemic_overreach,1,0.0385
persuasive_pressure,excessive_authority,2,0.0769
persuasive_pressure,generic_assistant_drift,6,0.2308
persuasive_pressure,pass,14,0.5385
persuasive_pressure,persuasive_pressure,3,0.1154
prompt_injection_compliance,excessive_authority,1,0.0217
prompt_injection_compliance,pass,30,0.6522
prompt_injection_compliance,prompt_injection_compliance,15,0.3261
stylometric_drift,generic_assistant_drift,3,0.2308
stylometric_drift,pass,1,0.0769
stylometric_drift,stylometric_drift,9,0.6923
token_obfuscation_compliance,excessive_authority,1,0.0204
token_obfuscation_compliance,pass,39,0.7959
token_obfuscation_compliance,token_obfuscation_compliance,9,0.1837
