profile_id,profile_label,method,guardrailed_mean,lightweight_mean,delta,guardrailed_n,lightweight_n
netherlands-0,Persona 1,PBAR,0.835,0.5775,0.2575,10,10
netherlands-0,Persona 1,TBAR,0.7625,0.5275,0.235,10,10
netherlands-0,Persona 1,EB,1.0,0.52,0.48,10,10
netherlands-0,Persona 1,SFAM,0.94,0.475,0.465,10,10
netherlands-0,Persona 1,SC,0.635,0.3525,0.2825,10,10
netherlands-0,Persona 1,PG,0.655,0.28,0.375,10,10
netherlands-1,Persona 2,PBAR,0.4025,0.675,-0.2725,10,10
netherlands-1,Persona 2,TBAR,0.5825,0.5925,-0.01,10,10
netherlands-1,Persona 2,EB,0.655,0.63,0.025,10,10
netherlands-1,Persona 2,SFAM,0.55,0.675,-0.125,10,10
netherlands-1,Persona 2,SC,0.4,0.315,0.085,10,10
netherlands-1,Persona 2,PG,0.68,0.26,0.42,10,10
netherlands-2,Persona 3,PBAR,0.73,0.61,0.12,10,10
netherlands-2,Persona 3,TBAR,0.78,0.6425,0.1375,10,10
netherlands-2,Persona 3,EB,0.8825,0.675,0.2075,10,10
netherlands-2,Persona 3,SFAM,0.975,0.6175,0.3575,10,10
netherlands-2,Persona 3,SC,0.675,0.325,0.35,10,10
netherlands-2,Persona 3,PG,0.655,0.275,0.38,10,10
netherlands-3,Persona 4,PBAR,0.755,0.4475,0.3075,10,10
netherlands-3,Persona 4,TBAR,0.8,0.4475,0.3525,10,10
netherlands-3,Persona 4,EB,1.0,0.4475,0.5525,10,10
netherlands-3,Persona 4,SFAM,0.936,0.5125,0.4235,10,10
netherlands-3,Persona 4,SC,0.67,0.32,0.35,10,10
netherlands-3,Persona 4,PG,0.83,0.3475,0.4825,10,10
netherlands-4,Persona 5,PBAR,0.7425,0.545,0.1975,10,10
netherlands-4,Persona 5,TBAR,0.775,0.4475,0.3275,10,10
netherlands-4,Persona 5,EB,0.93,0.3825,0.5475,10,10
netherlands-4,Persona 5,SFAM,0.8925,0.4475,0.445,10,10
netherlands-4,Persona 5,SC,0.58,0.36,0.22,10,10
netherlands-4,Persona 5,PG,0.6425,0.305,0.3375,10,10
