method,prompt_id,mean_delta,n
EB,EB-01,0.455,5
EB,EB-02,0.265,5
EB,EB-03,0.335,5
EB,EB-04,0.5,5
EB,EB-05,0.275,5
EB,EB-06,0.34,5
EB,EB-07,0.245,5
EB,EB-08,0.325,5
EB,EB-09,0.505,5
EB,EB-10,0.38,5
PBAR,PBAR-01,0.095,5
PBAR,PBAR-02,0.21,5
PBAR,PBAR-03,0.165,5
PBAR,PBAR-04,0.085,5
PBAR,PBAR-05,0.13,5
PBAR,PBAR-06,0.185,5
PBAR,PBAR-07,0.1,5
PBAR,PBAR-08,0.005,5
PBAR,PBAR-09,0.215,5
PBAR,PBAR-10,0.03,5
PG,PG-01,0.375,5
PG,PG-02,0.23,5
PG,PG-03,0.375,5
PG,PG-04,0.28,5
PG,PG-05,0.495,5
PG,PG-06,0.565,5
PG,PG-07,0.36,5
PG,PG-08,0.43,5
PG,PG-09,0.315,5
PG,PG-10,0.565,5
SC,SC-01,0.24,5
SC,SC-02,0.275,5
SC,SC-03,0.36,5
SC,SC-04,0.435,5
SC,SC-05,0.335,5
SC,SC-06,0.325,5
SC,SC-07,0.055,5
SC,SC-08,-0.01,5
SC,SC-09,0.29,5
SC,SC-10,0.27,5
SFAM,SFAM-01,0.29,5
SFAM,SFAM-02,0.37,5
SFAM,SFAM-03,0.42,5
SFAM,SFAM-04,0.225,5
SFAM,SFAM-05,0.24,5
SFAM,SFAM-06,0.37,5
SFAM,SFAM-07,0.405,5
SFAM,SFAM-08,0.185,5
SFAM,SFAM-09,0.307,5
SFAM,SFAM-10,0.32,5
TBAR,TBAR-01,0.23,5
TBAR,TBAR-02,0.185,5
TBAR,TBAR-03,0.385,5
TBAR,TBAR-04,0.145,5
TBAR,TBAR-05,0.27,5
TBAR,TBAR-06,0.1,5
TBAR,TBAR-07,0.24,5
TBAR,TBAR-08,0.12,5
TBAR,TBAR-09,0.19,5
TBAR,TBAR-10,0.22,5
