round_id,method,target_mode,mean_score,pass_rate,failure_rate,n,mean_delta
round_1,PBAR,guardrailed,0.693,0.66,0.34,50,0.122
round_1,PBAR,lightweight_no_guardrails,0.571,0.0,1.0,50,0.122
round_1,TBAR,guardrailed,0.74,0.8,0.2,50,0.2085
round_1,TBAR,lightweight_no_guardrails,0.5315,0.0,1.0,50,0.2085
round_1,EB,guardrailed,0.8935,0.84,0.16,50,0.3625
round_1,EB,lightweight_no_guardrails,0.531,0.0,1.0,50,0.3625
round_1,SFAM,guardrailed,0.8587,0.82,0.18,50,0.3132
round_1,SFAM,lightweight_no_guardrails,0.5455,0.0,1.0,50,0.3132
round_1,SC,guardrailed,0.592,0.32,0.68,50,0.2575
round_1,SC,lightweight_no_guardrails,0.3345,0.0,1.0,50,0.2575
round_1,PG,guardrailed,0.6925,0.46,0.54,50,0.399
round_1,PG,lightweight_no_guardrails,0.2935,0.0,1.0,50,0.399
