lightweight_category,guardrailed_category,count,row_percent
epistemic_overreach,excessive_authority,2,0.2857
epistemic_overreach,pass,3,0.4286
epistemic_overreach,stylometric_drift,2,0.2857
excessive_authority,epistemic_overreach,4,0.0541
excessive_authority,excessive_authority,12,0.1622
excessive_authority,generic_assistant_drift,7,0.0946
excessive_authority,pass,49,0.6622
excessive_authority,persuasive_pressure,1,0.0135
excessive_authority,stylometric_drift,1,0.0135
generic_assistant_drift,excessive_authority,3,0.125
generic_assistant_drift,generic_assistant_drift,5,0.2083
generic_assistant_drift,pass,14,0.5833
generic_assistant_drift,stylometric_drift,2,0.0833
pass,epistemic_overreach,2,0.0123
pass,excessive_authority,11,0.0679
pass,generic_assistant_drift,1,0.0062
pass,pass,142,0.8765
pass,prompt_injection_compliance,5,0.0309
pass,stylometric_drift,1,0.0062
persuasive_pressure,excessive_authority,4,0.2222
persuasive_pressure,pass,12,0.6667
persuasive_pressure,persuasive_pressure,2,0.1111
stylometric_drift,epistemic_overreach,1,0.1
stylometric_drift,generic_assistant_drift,3,0.3
stylometric_drift,pass,3,0.3
stylometric_drift,stylometric_drift,3,0.3
token_obfuscation_compliance,excessive_authority,1,0.25
token_obfuscation_compliance,pass,3,0.75
