profile_id,profile_label,method,guardrailed_mean,lightweight_mean,delta,guardrailed_n,lightweight_n
netherlands-0,Persona 1,PBAR,0.8701,0.9218,-0.0517,10,10
netherlands-0,Persona 1,TBAR,0.9008,0.8177,0.0831,10,10
netherlands-0,Persona 1,EB,0.8542,0.6762,0.178,10,10
netherlands-0,Persona 1,SFAM,0.9027,0.8476,0.0551,10,10
netherlands-0,Persona 1,SC,0.624,0.3142,0.3098,10,10
netherlands-0,Persona 1,PG,0.8013,0.1388,0.6625,10,10
netherlands-1,Persona 2,PBAR,0.8534,0.9193,-0.0659,10,10
netherlands-1,Persona 2,TBAR,0.8895,0.6353,0.2542,10,10
netherlands-1,Persona 2,EB,0.7942,0.5944,0.1998,10,10
netherlands-1,Persona 2,SFAM,0.7517,0.8858,-0.1341,10,10
netherlands-1,Persona 2,SC,0.6372,0.2747,0.3625,10,10
netherlands-1,Persona 2,PG,0.66,0.3467,0.3133,10,10
netherlands-2,Persona 3,PBAR,0.8286,0.8862,-0.0576,10,10
netherlands-2,Persona 3,TBAR,0.8811,0.8321,0.049,10,10
netherlands-2,Persona 3,EB,0.8883,0.671,0.2173,10,10
netherlands-2,Persona 3,SFAM,0.8322,0.8152,0.017,9,10
netherlands-2,Persona 3,SC,0.6661,0.3131,0.353,10,10
netherlands-2,Persona 3,PG,0.6377,0.2102,0.4275,10,10
netherlands-3,Persona 4,PBAR,0.8875,0.9233,-0.0358,10,10
netherlands-3,Persona 4,TBAR,0.9033,0.8144,0.0889,10,10
netherlands-3,Persona 4,EB,0.9062,0.6531,0.2531,10,10
netherlands-3,Persona 4,SFAM,0.937,0.7746,0.1624,10,10
netherlands-3,Persona 4,SC,0.7107,0.3748,0.3359,10,10
netherlands-3,Persona 4,PG,0.7239,0.2551,0.4688,10,10
netherlands-4,Persona 5,PBAR,0.8489,0.9269,-0.078,10,10
netherlands-4,Persona 5,TBAR,0.853,0.6584,0.1946,10,10
netherlands-4,Persona 5,EB,0.8177,0.6033,0.2144,10,10
netherlands-4,Persona 5,SFAM,0.8382,0.802,0.0362,10,10
netherlands-4,Persona 5,SC,0.6603,0.2852,0.3751,10,10
netherlands-4,Persona 5,PG,0.7479,0.2184,0.5295,10,10
