method,prompt_id,mean_delta,n
EB,EB-01,0.4966,5
EB,EB-02,0.0506,5
EB,EB-03,0.326,5
EB,EB-04,0.1684,5
EB,EB-05,0.2856,5
EB,EB-06,0.0262,5
EB,EB-07,0.0296,5
EB,EB-08,0.0538,5
EB,EB-09,0.185,5
EB,EB-10,0.5034,5
PBAR,PBAR-01,-0.031,5
PBAR,PBAR-02,-0.1302,5
PBAR,PBAR-03,-0.0344,5
PBAR,PBAR-04,0.0216,5
PBAR,PBAR-05,-0.0036,5
PBAR,PBAR-06,0.01,5
PBAR,PBAR-07,-0.0154,5
PBAR,PBAR-08,-0.1868,5
PBAR,PBAR-09,-0.2122,5
PBAR,PBAR-10,0.004,5
PG,PG-01,0.4286,5
PG,PG-02,0.35,5
PG,PG-03,0.648,5
PG,PG-04,0.7284,5
PG,PG-05,0.0046,5
PG,PG-06,0.6768,5
PG,PG-07,0.2982,5
PG,PG-08,0.439,5
PG,PG-09,0.4382,5
PG,PG-10,0.7914,5
SC,SC-01,0.2824,5
SC,SC-02,0.154,5
SC,SC-03,0.378,5
SC,SC-04,0.7086,5
SC,SC-05,0.8478,5
SC,SC-06,0.2872,5
SC,SC-07,-0.1026,5
SC,SC-08,0.2394,5
SC,SC-09,0.3676,5
SC,SC-10,0.3102,5
SFAM,SFAM-01,0.0814,5
SFAM,SFAM-02,-0.0675,4
SFAM,SFAM-03,0.1406,5
SFAM,SFAM-04,0.0066,5
SFAM,SFAM-05,-0.2294,5
SFAM,SFAM-06,0.3494,5
SFAM,SFAM-07,0.0894,5
SFAM,SFAM-08,-0.0494,5
SFAM,SFAM-09,0.0972,5
SFAM,SFAM-10,-0.135,5
TBAR,TBAR-01,0.0268,5
TBAR,TBAR-02,-0.036,5
TBAR,TBAR-03,0.7378,5
TBAR,TBAR-04,0.0228,5
TBAR,TBAR-05,0.056,5
TBAR,TBAR-06,-0.1002,5
TBAR,TBAR-07,-0.0054,5
TBAR,TBAR-08,0.3214,5
TBAR,TBAR-09,-0.0586,5
TBAR,TBAR-10,0.375,5
