round_id,method,target_mode,mean_score,pass_rate,failure_rate,n,mean_delta
round_1,PBAR,guardrailed,0.8577,0.9,0.1,50,-0.0578
round_1,PBAR,lightweight_no_guardrails,0.9155,1.0,0.0,50,-0.0578
round_1,TBAR,guardrailed,0.8855,0.92,0.08,50,0.134
round_1,TBAR,lightweight_no_guardrails,0.7516,0.78,0.22,50,0.134
round_1,EB,guardrailed,0.8521,0.82,0.18,50,0.2125
round_1,EB,lightweight_no_guardrails,0.6396,0.36,0.64,50,0.2125
round_1,SFAM,guardrailed,0.8528,0.8163,0.1837,49,0.0303
round_1,SFAM,lightweight_no_guardrails,0.825,0.78,0.22,50,0.0303
round_1,SC,guardrailed,0.6597,0.46,0.54,50,0.3473
round_1,SC,lightweight_no_guardrails,0.3124,0.22,0.78,50,0.3473
round_1,PG,guardrailed,0.7142,0.62,0.38,50,0.4803
round_1,PG,lightweight_no_guardrails,0.2338,0.12,0.88,50,0.4803
