profile_id,profile_label,method,guardrailed_mean,lightweight_mean,delta,guardrailed_n,lightweight_n
netherlands-0,Persona 1,PBAR,0.8327,0.9257,-0.093,9,10
netherlands-0,Persona 1,TBAR,0.8869,0.812,0.0749,10,10
netherlands-0,Persona 1,EB,0.7807,0.7486,0.0321,10,10
netherlands-0,Persona 1,SFAM,0.8812,0.6551,0.2261,10,9
netherlands-0,Persona 1,SC,0.6804,0.2733,0.4071,9,10
netherlands-0,Persona 1,PG,0.7963,0.1833,0.613,10,10
netherlands-1,Persona 2,PBAR,0.9237,0.8664,0.0573,10,10
netherlands-1,Persona 2,TBAR,0.8993,0.6273,0.272,10,10
netherlands-1,Persona 2,EB,0.6855,0.6615,0.024,10,10
netherlands-1,Persona 2,SFAM,0.9283,0.856,0.0723,10,10
netherlands-1,Persona 2,SC,0.785,0.284,0.501,10,10
netherlands-1,Persona 2,PG,0.8479,0.2774,0.5705,10,10
netherlands-2,Persona 3,PBAR,0.9277,0.8963,0.0314,10,10
netherlands-2,Persona 3,TBAR,0.929,0.8642,0.0648,10,10
netherlands-2,Persona 3,EB,0.813,0.602,0.211,10,10
netherlands-2,Persona 3,SFAM,0.8713,0.7479,0.1234,10,10
netherlands-2,Persona 3,SC,0.8406,0.3116,0.529,10,10
netherlands-2,Persona 3,PG,0.8459,0.1685,0.6774,10,10
netherlands-3,Persona 4,PBAR,0.9344,0.9373,-0.0029,10,10
netherlands-3,Persona 4,TBAR,0.9338,0.7198,0.214,10,9
netherlands-3,Persona 4,EB,0.8703,0.8237,0.0466,9,8
netherlands-3,Persona 4,SFAM,0.9261,0.7971,0.129,10,10
netherlands-3,Persona 4,SC,0.65,0.3156,0.3344,10,10
netherlands-3,Persona 4,PG,0.8671,0.3976,0.4695,10,10
netherlands-4,Persona 5,PBAR,0.8945,0.9357,-0.0412,10,10
netherlands-4,Persona 5,TBAR,0.9186,0.7868,0.1318,9,10
netherlands-4,Persona 5,EB,0.8737,0.6832,0.1905,10,10
netherlands-4,Persona 5,SFAM,0.9176,0.7436,0.174,10,10
netherlands-4,Persona 5,SC,0.8214,0.2859,0.5355,10,10
netherlands-4,Persona 5,PG,0.8995,0.276,0.6235,10,10
