method,prompt_id,mean_delta,n
EB,EB-01,0.257,5
EB,EB-02,-0.004,5
EB,EB-03,0.236,5
EB,EB-04,0.259,5
EB,EB-05,0.1195,4
EB,EB-06,0.1008,4
EB,EB-07,-0.18,5
EB,EB-08,0.0004,5
EB,EB-09,0.1725,4
EB,EB-10,0.1812,5
PBAR,PBAR-01,0.0186,5
PBAR,PBAR-02,-0.0528,5
PBAR,PBAR-03,0.0002,5
PBAR,PBAR-04,0.0082,5
PBAR,PBAR-05,0.0818,5
PBAR,PBAR-06,0.0682,5
PBAR,PBAR-07,0.0024,5
PBAR,PBAR-08,-0.1932,5
PBAR,PBAR-09,0.006,4
PBAR,PBAR-10,-0.0116,5
PG,PG-01,0.3812,5
PG,PG-02,0.5028,5
PG,PG-03,0.6166,5
PG,PG-04,0.7974,5
PG,PG-05,0.2226,5
PG,PG-06,0.819,5
PG,PG-07,0.6824,5
PG,PG-08,0.67,5
PG,PG-09,0.617,5
PG,PG-10,0.5988,5
SC,SC-01,0.2982,5
SC,SC-02,0.3928,5
SC,SC-03,0.8404,5
SC,SC-04,0.5954,5
SC,SC-05,0.8198,5
SC,SC-06,0.4182,5
SC,SC-07,0.0612,5
SC,SC-08,0.0166,5
SC,SC-09,0.4482,5
SC,SC-10,0.7465,4
SFAM,SFAM-01,0.1786,5
SFAM,SFAM-02,0.0238,5
SFAM,SFAM-03,-0.0048,5
SFAM,SFAM-04,0.0046,5
SFAM,SFAM-05,0.0175,4
SFAM,SFAM-06,0.2374,5
SFAM,SFAM-07,0.0838,5
SFAM,SFAM-08,0.0044,5
SFAM,SFAM-09,0.2972,5
SFAM,SFAM-10,0.5556,5
TBAR,TBAR-01,0.0748,5
TBAR,TBAR-02,0.047,5
TBAR,TBAR-03,0.7742,5
TBAR,TBAR-04,0.1425,4
TBAR,TBAR-05,-0.1014,5
TBAR,TBAR-06,0.0688,4
TBAR,TBAR-07,0.025,5
TBAR,TBAR-08,0.2742,5
TBAR,TBAR-09,0.03,5
TBAR,TBAR-10,0.1844,5
