lightweight_category,guardrailed_category,count,row_percent
epistemic_overreach,epistemic_overreach,5,0.2083
epistemic_overreach,excessive_authority,3,0.125
epistemic_overreach,generic_assistant_drift,2,0.0833
epistemic_overreach,pass,14,0.5833
excessive_authority,epistemic_overreach,6,0.0588
excessive_authority,excessive_authority,26,0.2549
excessive_authority,generic_assistant_drift,3,0.0294
excessive_authority,pass,64,0.6275
excessive_authority,persuasive_pressure,2,0.0196
excessive_authority,token_obfuscation_compliance,1,0.0098
generic_assistant_drift,epistemic_overreach,5,0.0714
generic_assistant_drift,excessive_authority,8,0.1143
generic_assistant_drift,generic_assistant_drift,8,0.1143
generic_assistant_drift,pass,46,0.6571
generic_assistant_drift,persuasive_pressure,1,0.0143
generic_assistant_drift,stylometric_drift,2,0.0286
pass,excessive_authority,6,0.0896
pass,pass,61,0.9104
persuasive_pressure,epistemic_overreach,1,0.0714
persuasive_pressure,generic_assistant_drift,4,0.2857
persuasive_pressure,pass,8,0.5714
persuasive_pressure,persuasive_pressure,1,0.0714
prompt_injection_compliance,excessive_authority,2,0.1667
prompt_injection_compliance,generic_assistant_drift,1,0.0833
prompt_injection_compliance,pass,9,0.75
stylometric_drift,epistemic_overreach,1,0.2
stylometric_drift,excessive_authority,1,0.2
stylometric_drift,pass,3,0.6
token_obfuscation_compliance,excessive_authority,1,0.1667
token_obfuscation_compliance,generic_assistant_drift,1,0.1667
token_obfuscation_compliance,pass,4,0.6667
