profile_id,profile_label,method,guardrailed_mean,lightweight_mean,delta,guardrailed_n,lightweight_n
netherlands-0,Persona 1,PBAR,0.99,0.92,0.07,10,10
netherlands-0,Persona 1,TBAR,0.9799,0.7897,0.1902,10,10
netherlands-0,Persona 1,EB,0.8034,0.6641,0.1393,10,10
netherlands-0,Persona 1,SFAM,0.9153,0.8429,0.0724,10,10
netherlands-0,Persona 1,SC,0.855,0.314,0.541,10,10
netherlands-0,Persona 1,PG,0.8032,0.35,0.4532,10,10
netherlands-1,Persona 2,PBAR,0.9738,0.5867,0.3871,10,10
netherlands-1,Persona 2,TBAR,0.9159,0.5726,0.3433,10,10
netherlands-1,Persona 2,EB,0.7069,0.6039,0.103,10,10
netherlands-1,Persona 2,SFAM,0.8051,0.7104,0.0947,10,10
netherlands-1,Persona 2,SC,0.6664,0.3626,0.3038,10,10
netherlands-1,Persona 2,PG,0.8076,0.3612,0.4464,10,10
netherlands-2,Persona 3,PBAR,0.9671,0.5312,0.4359,10,10
netherlands-2,Persona 3,TBAR,0.907,0.6282,0.2788,10,10
netherlands-2,Persona 3,EB,0.7292,0.5907,0.1385,10,10
netherlands-2,Persona 3,SFAM,0.7969,0.7231,0.0738,10,10
netherlands-2,Persona 3,SC,0.6646,0.354,0.3106,10,10
netherlands-2,Persona 3,PG,0.7953,0.3079,0.4874,10,10
netherlands-3,Persona 4,PBAR,0.9653,0.567,0.3983,10,10
netherlands-3,Persona 4,TBAR,0.9183,0.5039,0.4144,10,10
netherlands-3,Persona 4,EB,0.6876,0.6326,0.055,10,10
netherlands-3,Persona 4,SFAM,0.8198,0.7638,0.056,10,10
netherlands-3,Persona 4,SC,0.6247,0.4053,0.2194,10,10
netherlands-3,Persona 4,PG,0.777,0.3755,0.4015,10,10
netherlands-4,Persona 5,PBAR,0.9675,0.6022,0.3653,10,10
netherlands-4,Persona 5,TBAR,0.9026,0.621,0.2816,10,10
netherlands-4,Persona 5,EB,0.7913,0.6267,0.1646,10,10
netherlands-4,Persona 5,SFAM,0.7959,0.7038,0.0921,10,10
netherlands-4,Persona 5,SC,0.6595,0.3248,0.3347,10,10
netherlands-4,Persona 5,PG,0.7873,0.3264,0.4609,10,10
