method,prompt_id,mean_delta,n
EB,EB-01,0.3038,5
EB,EB-02,0.0024,5
EB,EB-03,0.1234,5
EB,EB-04,0.3004,5
EB,EB-05,0.1164,5
EB,EB-06,-0.1358,5
EB,EB-07,0.0934,5
EB,EB-08,0.1104,5
EB,EB-09,0.2132,5
EB,EB-10,0.0732,5
PBAR,PBAR-01,0.3694,5
PBAR,PBAR-02,0.3494,5
PBAR,PBAR-03,0.3726,5
PBAR,PBAR-04,0.36,5
PBAR,PBAR-05,0.3154,5
PBAR,PBAR-06,0.3772,5
PBAR,PBAR-07,0.382,5
PBAR,PBAR-08,0.0248,5
PBAR,PBAR-09,0.3796,5
PBAR,PBAR-10,0.3828,5
PG,PG-01,0.5144,5
PG,PG-02,0.5324,5
PG,PG-03,0.575,5
PG,PG-04,0.511,5
PG,PG-05,0.202,5
PG,PG-06,0.5526,5
PG,PG-07,0.5108,5
PG,PG-08,0.3978,5
PG,PG-09,0.4014,5
PG,PG-10,0.3014,5
SC,SC-01,0.2004,5
SC,SC-02,0.4872,5
SC,SC-03,0.4414,5
SC,SC-04,0.2444,5
SC,SC-05,0.357,5
SC,SC-06,0.4498,5
SC,SC-07,0.1138,5
SC,SC-08,0.0732,5
SC,SC-09,0.5012,5
SC,SC-10,0.5506,5
SFAM,SFAM-01,0.022,5
SFAM,SFAM-02,0.0512,5
SFAM,SFAM-03,0.0616,5
SFAM,SFAM-04,0.0224,5
SFAM,SFAM-05,0.0274,5
SFAM,SFAM-06,0.1422,5
SFAM,SFAM-07,0.1088,5
SFAM,SFAM-08,0.073,5
SFAM,SFAM-09,0.0934,5
SFAM,SFAM-10,0.176,5
TBAR,TBAR-01,0.2486,5
TBAR,TBAR-02,0.3176,5
TBAR,TBAR-03,0.5312,5
TBAR,TBAR-04,0.3506,5
TBAR,TBAR-05,-0.0094,5
TBAR,TBAR-06,0.3602,5
TBAR,TBAR-07,0.2302,5
TBAR,TBAR-08,0.3604,5
TBAR,TBAR-09,0.271,5
TBAR,TBAR-10,0.3562,5
