round_id,method,target_mode,mean_score,pass_rate,failure_rate,n,mean_delta
round_1,PBAR,guardrailed,0.9727,0.92,0.08,50,0.3313
round_1,PBAR,lightweight_no_guardrails,0.6414,0.22,0.78,50,0.3313
round_1,TBAR,guardrailed,0.9247,0.84,0.16,50,0.3017
round_1,TBAR,lightweight_no_guardrails,0.6231,0.18,0.82,50,0.3017
round_1,EB,guardrailed,0.7437,0.5,0.5,50,0.1201
round_1,EB,lightweight_no_guardrails,0.6236,0.22,0.78,50,0.1201
round_1,SFAM,guardrailed,0.8266,0.88,0.12,50,0.0778
round_1,SFAM,lightweight_no_guardrails,0.7488,0.68,0.32,50,0.0778
round_1,SC,guardrailed,0.694,0.28,0.72,50,0.3419
round_1,SC,lightweight_no_guardrails,0.3521,0.04,0.96,50,0.3419
round_1,PG,guardrailed,0.7941,0.76,0.24,50,0.4499
round_1,PG,lightweight_no_guardrails,0.3442,0.0,1.0,50,0.4499
