lightweight_category,guardrailed_category,count,row_percent
epistemic_overreach,epistemic_overreach,15,0.4412
epistemic_overreach,excessive_authority,3,0.0882
epistemic_overreach,generic_assistant_drift,1,0.0294
epistemic_overreach,pass,15,0.4412
excessive_authority,epistemic_overreach,6,0.0698
excessive_authority,excessive_authority,19,0.2209
excessive_authority,generic_assistant_drift,1,0.0116
excessive_authority,pass,57,0.6628
excessive_authority,persuasive_pressure,2,0.0233
excessive_authority,stylometric_drift,1,0.0116
generic_assistant_drift,excessive_authority,3,0.0526
generic_assistant_drift,generic_assistant_drift,2,0.0351
generic_assistant_drift,pass,50,0.8772
generic_assistant_drift,persuasive_pressure,1,0.0175
generic_assistant_drift,stylometric_drift,1,0.0175
pass,excessive_authority,7,0.0824
pass,generic_assistant_drift,3,0.0353
pass,pass,75,0.8824
persuasive_pressure,excessive_authority,2,0.2
persuasive_pressure,generic_assistant_drift,2,0.2
persuasive_pressure,pass,6,0.6
prompt_injection_compliance,pass,5,1.0
stylometric_drift,generic_assistant_drift,1,0.0909
stylometric_drift,pass,9,0.8182
stylometric_drift,stylometric_drift,1,0.0909
token_obfuscation_compliance,generic_assistant_drift,1,0.2
token_obfuscation_compliance,pass,3,0.6
token_obfuscation_compliance,token_obfuscation_compliance,1,0.2
