profile_id,profile_label,method,guardrailed_mean,lightweight_mean,delta,guardrailed_n,lightweight_n
netherlands-0,Persona 1,PBAR,0.9538,0.63,0.3238,10,10
netherlands-0,Persona 1,TBAR,0.848,0.6868,0.1612,10,10
netherlands-0,Persona 1,EB,0.5715,0.4673,0.1042,10,10
netherlands-0,Persona 1,SFAM,0.7943,0.7919,0.0024,10,10
netherlands-0,Persona 1,SC,0.8164,0.3344,0.482,10,10
netherlands-0,Persona 1,PG,0.7844,0.2,0.5844,10,10
netherlands-1,Persona 2,PBAR,0.9281,0.6152,0.3129,10,10
netherlands-1,Persona 2,TBAR,0.8234,0.6054,0.218,10,10
netherlands-1,Persona 2,EB,0.4212,0.3225,0.0987,10,10
netherlands-1,Persona 2,SFAM,0.9276,0.894,0.0336,10,10
netherlands-1,Persona 2,SC,0.8122,0.371,0.4412,10,10
netherlands-1,Persona 2,PG,0.8096,0.2913,0.5183,10,10
netherlands-2,Persona 3,PBAR,0.9475,0.4871,0.4604,10,10
netherlands-2,Persona 3,TBAR,0.9293,0.6945,0.2348,10,10
netherlands-2,Persona 3,EB,0.6154,0.5048,0.1106,10,10
netherlands-2,Persona 3,SFAM,0.8898,0.8462,0.0436,10,10
netherlands-2,Persona 3,SC,0.8808,0.4084,0.4724,10,10
netherlands-2,Persona 3,PG,0.7336,0.3028,0.4308,10,10
netherlands-3,Persona 4,PBAR,0.9269,0.4349,0.492,10,9
netherlands-3,Persona 4,TBAR,0.8227,0.6719,0.1508,9,10
netherlands-3,Persona 4,EB,0.689,0.4898,0.1992,8,8
netherlands-3,Persona 4,SFAM,0.9166,0.8531,0.0635,9,10
netherlands-3,Persona 4,SC,0.8564,0.3838,0.4726,10,10
netherlands-3,Persona 4,PG,0.8095,0.3516,0.4579,10,10
netherlands-4,Persona 5,PBAR,0.9306,0.5602,0.3704,10,10
netherlands-4,Persona 5,TBAR,0.9332,0.5595,0.3737,9,10
netherlands-4,Persona 5,EB,0.6528,0.5601,0.0927,10,10
netherlands-4,Persona 5,SFAM,0.8815,0.8475,0.034,10,10
netherlands-4,Persona 5,SC,0.8785,0.3798,0.4987,10,10
netherlands-4,Persona 5,PG,0.827,0.2136,0.6134,10,10
