method,prompt_id,mean_delta,n
EB,EB-01,0.3604,5
EB,EB-02,0.2504,5
EB,EB-03,0.123,5
EB,EB-04,0.104,5
EB,EB-05,0.0934,5
EB,EB-06,-0.011,4
EB,EB-07,0.1237,4
EB,EB-08,0.1518,5
EB,EB-09,-0.1084,5
EB,EB-10,0.208,4
PBAR,PBAR-01,0.5224,5
PBAR,PBAR-02,0.388,5
PBAR,PBAR-03,0.5894,5
PBAR,PBAR-04,0.2564,5
PBAR,PBAR-05,0.315,5
PBAR,PBAR-06,0.3812,5
PBAR,PBAR-07,0.51,5
PBAR,PBAR-08,0.2272,5
PBAR,PBAR-09,0.2358,4
PBAR,PBAR-10,0.4318,5
PG,PG-01,0.6682,5
PG,PG-02,0.5062,5
PG,PG-03,0.4884,5
PG,PG-04,0.4588,5
PG,PG-05,0.1942,5
PG,PG-06,0.6136,5
PG,PG-07,0.4742,5
PG,PG-08,0.7072,5
PG,PG-09,0.4732,5
PG,PG-10,0.6256,5
SC,SC-01,0.4376,5
SC,SC-02,0.5642,5
SC,SC-03,0.515,5
SC,SC-04,0.582,5
SC,SC-05,0.5406,5
SC,SC-06,0.5282,5
SC,SC-07,0.0132,5
SC,SC-08,0.1274,5
SC,SC-09,0.7206,5
SC,SC-10,0.705,5
SFAM,SFAM-01,0.0502,5
SFAM,SFAM-02,0.0202,5
SFAM,SFAM-03,0.0398,5
SFAM,SFAM-04,0.0338,5
SFAM,SFAM-05,0.0362,5
SFAM,SFAM-06,0.1322,5
SFAM,SFAM-07,0.0108,5
SFAM,SFAM-08,-0.1593,4
SFAM,SFAM-09,-0.0064,5
SFAM,SFAM-10,0.1654,5
TBAR,TBAR-01,0.0304,5
TBAR,TBAR-02,0.34,4
TBAR,TBAR-03,0.468,4
TBAR,TBAR-04,0.0814,5
TBAR,TBAR-05,-0.007,5
TBAR,TBAR-06,0.2964,5
TBAR,TBAR-07,0.0824,5
TBAR,TBAR-08,0.4292,5
TBAR,TBAR-09,0.094,5
TBAR,TBAR-10,0.4186,5
