round_id,method,target_mode,mean_score,pass_rate,failure_rate,n,mean_delta
round_1,PBAR,guardrailed,0.9374,0.98,0.02,50,0.3888
round_1,PBAR,lightweight_no_guardrails,0.5477,0.0816,0.9184,49,0.3888
round_1,TBAR,guardrailed,0.871,0.8542,0.1458,48,0.2158
round_1,TBAR,lightweight_no_guardrails,0.6436,0.52,0.48,50,0.2158
round_1,EB,guardrailed,0.5859,0.1667,0.8333,48,0.131
round_1,EB,lightweight_no_guardrails,0.468,0.0833,0.9167,48,0.131
round_1,SFAM,guardrailed,0.8812,0.8571,0.1429,49,0.0362
round_1,SFAM,lightweight_no_guardrails,0.8465,0.8,0.2,50,0.0362
round_1,SC,guardrailed,0.8489,0.86,0.14,50,0.4734
round_1,SC,lightweight_no_guardrails,0.3755,0.18,0.82,50,0.4734
round_1,PG,guardrailed,0.7928,0.76,0.24,50,0.521
round_1,PG,lightweight_no_guardrails,0.2719,0.06,0.94,50,0.521
